"株式会社一蔵（amour）/アイレップ (526513)"
"20160118キャンペーンレポート (CAMPAIGN)"
"2016/01/01-2016/01/17"
"表示切替: コンバージョン名"
"フィルター: -"
コンバージョン名,キャンペーン名,キャンペーンタイプ,キャンペーンID,ユニークコンバージョン数,売上/ユニークコンバージョン数,合計売上金額,総コンバージョン数,売上/総コンバージョン数
資料請求,202_振袖レンタル_単,標準キャンペーン,1033990,3,0.0000,0.0,3,0.0000
資料請求,201_振袖レンタル_掛,標準キャンペーン,693733,2,0.0000,0.0,2,0.0000
来店予約,201_振袖レンタル_掛,標準キャンペーン,693733,2,0.0000,0.0,4,0.0000
資料請求,101_社名,標準キャンペーン,693732,1,0.0000,0.0,2,0.0000
--,--,--,--,8,0.0000,0.0,11,0.0000
